Checking CSS leakage...

❌ CSS LEAKAGE DETECTED

| Partial | Class | Defined In |
| `.reg-card-links` | registry | views/registry.css |
| `.reg-link` | knowledge, registry | core.css |
| `.kb-stats` | knowledge | views/knowledge.css |
| `.kb-filters` | knowledge | views/knowledge.css |
| `.kb-category` | knowledge | views/knowledge.css |
| `.kb-category-header` | knowledge | views/knowledge.css |
| `.kb-category-count` | knowledge | views/knowledge.css |
| `.kb-grid` | knowledge | views/knowledge.css |
| `.kb-card` | knowledge | views/knowledge.css |
| `.kb-card-header` | knowledge | views/knowledge.css |
| `.kb-card-name` | knowledge | views/knowledge.css |
| `.kb-source-badge` | knowledge | views/knowledge.css |
| `.kb-shared-tag` | knowledge | views/knowledge.css |
| `.kb-card-desc` | knowledge | views/knowledge.css |
| `.kb-card-details` | knowledge | views/knowledge.css |
| `.kb-card-id` | knowledge | views/knowledge.css |
| `.mktops-tabs` | crm, marketingOps, ops | core.css |
| `.mktops-alert` | marketingOps, techTeam | core.css |
| `.mktops-alert-danger` | marketingOps, techTeam | core.css |
| `.mktops-alert-warning` | marketingOps | views/marketingOps.css |
| `.mktops-alert-items` | marketingOps | views/marketingOps.css |
| `.mktops-alert-item` | marketingOps | views/marketingOps.css |
| `.view-refresh-label` | bmc, crm, dashboard, factory, marketingOps, ops, techTeam | core.css |
| `.area-card-button` | crm, dashboard, factory, marketingOps, ops, techTeam | core.css |
| `.data-card-button` | crm, marketingOps, ops, techTeam | core.css |
| `.compact-empty-state` | crm, dashboard, factory, marketingOps, ops, techTeam | core.css |
| `.tech-system-tag-btn` | techTeam | views/techTeam.css |
| `.clickable-cell` | marketingOps | views/marketingOps.css |
| `.kanban-empty` | commitments, marketingOps | core.css |
| `.seq-health` | marketingOps | views/marketingOps.css |
| `.view-toggle-group` | marketingOps | views/marketingOps.css |
| `.view-toggle-btn` | marketingOps | views/marketingOps.css |
| `.action-btn-danger` | techTeam | views/techTeam.css |
| `.tech-tabs` | techTeam | views/techTeam.css |
| `.tech-sprint-board` | techTeam | views/techTeam.css |
| `.tech-filters` | techTeam | views/techTeam.css |
| `.tech-type-badge` | techTeam | views/techTeam.css |
| `.tech-priority-pill` | techTeam | views/techTeam.css |
| `.tech-system-tag` | techTeam | views/techTeam.css |
| `.tech-person` | techTeam | views/techTeam.css |
| `.tech-blocked-text` | techTeam | views/techTeam.css |
| `.tech-waiting-text` | techTeam | views/techTeam.css |
| `.tech-bug-metrics` | techTeam | views/techTeam.css |
| `.tech-bug-breakdown` | techTeam | views/techTeam.css |
| `.tech-bar-row` | techTeam | views/techTeam.css |
| `.tech-bar-label` | techTeam | views/techTeam.css |
| `.tech-bar` | techTeam | views/techTeam.css |
| `.tech-bar-fill` | techTeam | views/techTeam.css |
| `.tech-bar-system` | techTeam | views/techTeam.css |
| `.tech-bar-crm` | techTeam | views/techTeam.css |
| `.tech-bar-count` | techTeam | views/techTeam.css |
| `.tech-spec-board` | techTeam | views/techTeam.css |
| `.tech-decision-timeline` | techTeam | views/techTeam.css |
| `.tech-decision-card` | techTeam | views/techTeam.css |
| `.tech-decision-header` | techTeam | views/techTeam.css |
| `.tech-decision-date` | techTeam | views/techTeam.css |
| `.tech-decision-title` | techTeam | views/techTeam.css |
| `.tech-decision-meta` | techTeam | views/techTeam.css |
| `.tech-decision-details` | techTeam | views/techTeam.css |
| `.tech-detail-section` | techTeam | views/techTeam.css |
| `.tech-velocity-chart` | techTeam | views/techTeam.css |
| `.tech-velocity-row` | techTeam | views/techTeam.css |
| `.tech-velocity-label` | techTeam | views/techTeam.css |
| `.tech-velocity-bars` | techTeam | views/techTeam.css |
| `.tech-velocity-bar` | techTeam | views/techTeam.css |
| `.tech-velocity-bar-planned` | techTeam | views/techTeam.css |
| `.tech-velocity-bar-completed` | techTeam | views/techTeam.css |
| `.tech-velocity-numbers` | techTeam | views/techTeam.css |
| `.tech-velocity-pct` | techTeam | views/techTeam.css |
| `.tech-roadmap` | techTeam | views/techTeam.css |
| `.tech-command-grid` | techTeam | views/techTeam.css |
| `.tech-widget` | techTeam | views/techTeam.css |
| `.tech-widget-value` | techTeam | views/techTeam.css |
| `.tech-widget-list` | techTeam | views/techTeam.css |
| `.tech-crm-section` | techTeam | views/techTeam.css |
| `.tech-crm-funnel` | techTeam | views/techTeam.css |
| `.tech-funnel-row` | techTeam | views/techTeam.css |
| `.tech-funnel-label` | techTeam | views/techTeam.css |
| `.tech-strategy-tree` | techTeam | views/techTeam.css |
| `.tech-strategy-level-header` | techTeam | views/techTeam.css |
| `.tech-strategy-items` | techTeam | views/techTeam.css |
| `.tech-strategy-node` | techTeam | views/techTeam.css |
| `.tech-strategy-node-name` | techTeam | views/techTeam.css |
| `.tech-strategy-node-meta` | techTeam | views/techTeam.css |
| `.tech-strategy-node-desc` | techTeam | views/techTeam.css |
| `.kanban-title` | techTeam | views/techTeam.css |
| `.kanban-meta` | techTeam | views/techTeam.css |
| `.kanban-card-top` | techTeam | views/techTeam.css |
| `.bmc-hero` | bmc | views/bmc.css |
| `.bmc-hero-copy` | bmc | views/bmc.css |
| `.bmc-hero-metrics` | bmc | views/bmc.css |
| `.bmc-eyebrow` | bmc | views/bmc.css |
| `.detail-kicker` | bmc | views/bmc.css |
| `.bmc-spotlights` | bmc | views/bmc.css |
| `.bmc-spotlight` | bmc | views/bmc.css |
| `.bmc-spotlight-label` | bmc | views/bmc.css |
| `.bmc-hero-card` | bmc | views/bmc.css |
| `.bmc-hero-label` | bmc | views/bmc.css |
| `.bmc-hero-value` | bmc | views/bmc.css |
| `.bmc-hero-note` | bmc | views/bmc.css |
| `.bmc-toolbar` | bmc | views/bmc.css |
| `.bmc-toolbar-group` | bmc | views/bmc.css |
| `.bmc-search` | bmc | views/bmc.css |
| `.bmc-focus-label` | bmc | views/bmc.css |
| `.bmc-canvas` | bmc, marketingOps | core.css |
| `.bmc-partners` | bmc | views/bmc.css |
| `.bmc-activities` | bmc | views/bmc.css |
| `.bmc-resources` | bmc | views/bmc.css |
| `.bmc-value-props` | bmc | views/bmc.css |
| `.bmc-segments` | bmc | views/bmc.css |
| `.bmc-channels` | bmc | views/bmc.css |
| `.bmc-bus-units` | bmc | views/bmc.css |
| `.bmc-costs` | bmc | views/bmc.css |
| `.bmc-revenue` | bmc | views/bmc.css |
| `.bmc-metrics-block` | bmc | views/bmc.css |
| `.bmc-platforms-block` | bmc | views/bmc.css |
| `.bmc-block` | bmc, marketingOps | core.css |
| `.bmc-block-accent` | bmc | views/bmc.css |
| `.bmc-block-header` | bmc, marketingOps | core.css |
| `.bmc-block-title` | bmc, marketingOps | core.css |
| `.bmc-block-summary` | bmc | views/bmc.css |
| `.bmc-block-count` | bmc | views/bmc.css |
| `.bmc-block-items` | bmc | views/bmc.css |
| `.bmc-block-items-rich` | bmc | views/bmc.css |
| `.bmc-block-actions` | bmc | views/bmc.css |
| `.bmc-featured-stack` | bmc | views/bmc.css |
| `.bmc-item-card` | bmc | views/bmc.css |
| `.bmc-item-card-featured` | bmc | views/bmc.css |
| `.bmc-item-card-compact` | bmc | views/bmc.css |
| `.bmc-item-row` | bmc | views/bmc.css |
| `.bmc-item-name` | bmc | views/bmc.css |
